Rank,Score,Match Category,Recommendation,Job Title,Company,Location,Source,Link,Why Match,Gaps / Concerns,Suggested CV Tailoring,reason_codes,data_confidence,scrape_status,run_id,gpa_required,gpa_gap,gpa_status,gpa_note,deadline_parsed,deadline_status,days_until_deadline,urgency_level,deadline_note,not_apply_today_reason
11,80,Good Match,Apply / Maybe,Lowongan Management Trainee PT Propan Raya ICC,PT Propan,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/lowongan-management-trainee-pt-propan-raya-icc/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
12,80,Good Match,Apply / Maybe,Lowongan Management Trainee PT Puninar Logistics,PT Puninar,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/lowongan-management-trainee-pt-puninar-logistics/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
13,80,Good Match,Apply / Maybe,Puninar Logistics Management Trainee Program,PT Puninar,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/puninar-logistics-management-trainee-program/19/2026/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Logistics; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
14,80,Good Match,Apply / Maybe,Graduate Trainee Program – Coca-cola Europacific Partners Indonesia,PT Rumah,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-kerja-dari-coca-cola-europacific-partners-indonesia/22/2026/,Role match: Graduate Trainee; Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
15,80,Good Match,Apply / Maybe,Management Trainee – PT ASI Pudjiastuti Aviation (Susi Air),PT Rumah,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-kerja-management-trainee-pt-asi-pudjiastuti-aviation-susi-air/21/2026/,Role match: Management Trainee; Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
16,80,Good Match,Apply / Maybe,Management Trainee – Kawan Lama Group,PT Rumah,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/info-lowongan-pekerjaan-dari-kawan-lama-group/20/2026/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
17,80,Good Match,Apply / Maybe,Samudera Management Development Program,PT Samudera,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/info-lowongan-kerja-pt-samudera-indonesia-tbk/18/2026/,Role match: Management Development Program; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
18,80,Good Match,Apply / Maybe,Management Trainee Program – PT Sinar Sosro Gunung Slamat,PT Sinar,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/management-trainee-program-pt-sinar-sosro-gunung-slamat/21/2026/,Role match: Management Trainee; Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
19,80,Good Match,Apply / Maybe,Skha Graduate Development Program (SGDP) 2026,PT Skha,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/info-lowongan-kerja-pt-skha-indonesia/22/2026/,Role match: Graduate Development Program; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
20,80,Good Match,Apply / Maybe,Management Trainee – PT Supra Boga Lestari Tbk,PT Supra,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-kerja-dari-pt-supra-boga-lestari-tbk/19/2026/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
21,80,Good Match,Apply / Maybe,Lowongan Management Trainee PT Surya Toto Indonesia Tbk (TOTO),PT Surya,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/lowongan-management-trainee-pt-surya-toto-indonesia-tbk-toto/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
22,80,Good Match,Apply / Maybe,Lowongan Management Trainee Arista Group,PT Tower,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/lowongan-management-trainee-arista-group/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
23,80,Good Match,Apply / Maybe,Lowongan Management Trainee Asia Pulp & Paper (APP),PT Tower,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/lowongan-management-trainee-asia-pulp-paper-app/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
24,80,Good Match,Apply / Maybe,Lowongan Management Trainee Gunung Sewu Group,PT Tower,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/lowongan-management-trainee-gunung-sewu-group/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
25,80,Good Match,Apply / Maybe,Lowongan Management Trainee Meratus Group,PT Tower,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/lowongan-management-trainee-meratus-group/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
26,80,Good Match,Apply / Maybe,Lowongan Management Trainee SPS Corporate,PT Tower,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/lowongan-management-trainee-sps-corporate/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
27,80,Good Match,Apply / Maybe,Officer Development Program (ODP) Bank BNI,PT Tower,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/officer-development-program-odp-bank-bni/,Role match: ODP; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
28,80,Good Match,Apply / Maybe,Sampoerna Graduate Trainee PT HM Sampoerna Tbk,PT Tower,Jakarta,Gokerja - Management Trainee,https://www.gokerja.id/sampoerna-graduate-trainee-2022-pt-hm-sampoerna-tbk/,Role match: Graduate Trainee; Experience match: Entry level (0-2 years); Industry match: Automotive; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
29,80,Good Match,Apply / Maybe,Management Trainee – PT Toyota Astra Financial Services (TAF),PT Toyota,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-kerja-di-pt-toyota-astra-financial-services-taf/03/2026/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_ID_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
30,80,Good Match,Apply / Maybe,Management Trainee Program Transjakarta 2026,PT Transportasi,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/management-trainee-program-transjakarta-2026/22/2026/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
31,80,Good Match,Apply / Maybe,Triputra Management Trainee Program,PT Triputra,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-kerja-terbaru-dari-pt-triputra-agro-persada-tbk/18/2026/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
32,80,Good Match,Apply / Maybe,Unifam Management Trainee Program – PT United Family Food,PT United,Jakarta,LokerBumn - Management Trainee,https://lokerbumn.com/lowongan-kerja-dari-pt-united-family-food-unifam/19/2026/,Role match: Management Trainee; Experience match: Entry level (0-2 years); Industry match: Banking; Leadership/Execution fit; Education match: D4 Bisnis Internasional Unpad; Willing to relocate (nationwide),None detected,Gunakan CV: CV_Fahry_Ramadhan.pdf. Highlight operational leadership & D4 Bisnis Internasional Unpad.,"MT_ODP_MATCH, FRESH_GRAD_ACCEPTED, NATIONWIDE_PLACEMENT, SALARY_MISSING, GPA_NOT_LISTED, DEADLINE_UNKNOWN",90,Success (HTML Fallback),Tidak tercantum,Tidak tercantum,Tidak tercantum,No GPA Listed,No GPA requirement detected,Tidak tercantum,Unknown,Tidak tercantum,Unknown,No deadline detected,
